mode,radius,target_source_snr,arm,method,sites,threshold,recoveries,mean_search_snr,median_search_snr,mean_center_snr,mean_localization_error_pixels,median_relative_contrast_error,relative_contrast_error_scatter,mean_positive_minus_baseline_throughput
125,7.5,3.0,frozen,native,6,3.525679111480713,2,2.7688419620196023,2.6630170345306396,1.7064648146430652,1.0,0.04827999164217894,0.4966358704193438,0.9903497501635835
125,7.5,3.0,frozen,gaussian_fwhm2p4,6,3.142791271209717,5,3.691205143928528,3.5025670528411865,2.876929601033529,1.0,-0.1380083132122529,0.5310225372485766,0.9901186820609991
125,7.5,3.0,frozen,gaussian_fwhm3p0,6,2.886119842529297,4,3.5845453341801963,3.306700825691223,3.084311624368032,1.0,-0.10585241199732595,0.5434733346086166,0.9909103285988082
125,7.5,3.0,frozen,gaussian_fwhm3p6,6,2.5519919395446777,3,3.2948365807533264,2.9793994426727295,3.0132041772206626,1.0,-0.07170102930329045,0.5665494783764803,0.9923888439353302
125,7.5,3.0,frozen,gaussian_fwhm4p2,6,2.4404494762420654,3,2.883496324221293,2.5329946279525757,2.698082129160563,0.8333333333333334,-0.048003866450617494,0.6080823522631441,0.9957461016118828
125,7.5,3.0,frozen,exact_identity,6,1.8215569257736206,6,4.08557915687561,3.8772655725479126,3.876642862955729,0.6666666666666666,0.042479798923693635,0.27715514410553554,0.9885714474451178
125,7.5,3.0,frozen,sparse_identity,6,2.0639166831970215,6,3.893192172050476,3.785731315612793,3.7849847873051963,0.6666666666666666,-0.021422294106234654,0.32707824922754125,0.9893097964183032
125,7.5,3.0,frozen,exact_identity_lpf1p8,6,1.9561721086502075,6,4.101866443951924,4.043275952339172,3.9648863871892295,0.5,0.024883583725643935,0.2877012257887526,0.9884510209484968
125,7.5,3.0,frozen,exact_identity_lpf2p7,6,2.249215841293335,6,4.1194197336832685,4.234911203384399,4.029095451037089,0.16666666666666666,0.010046538361411422,0.2903315033904499,0.9880491704791994
125,7.5,3.0,frozen,exact_isotropic_fitted_mean,6,1.790679931640625,6,4.1399848858515425,4.048349499702454,3.9332010746002197,0.6666666666666666,0.054448705518008685,0.27419369478280914,0.9885714465287915
125,7.5,3.0,frozen,raw_rectangular_m0p3,6,2.2392499446868896,6,3.9786378145217896,3.957016944885254,3.8496843576431274,0.5,0.07648427325472221,0.26574199806332127,0.9882042736936225
125,7.5,3.0,frozen,radial_hann_m0p1_full,6,2.3741681575775146,6,3.931861241658529,3.7919416427612305,3.7623788118362427,0.5,0.1121145526402027,0.23936998864872536,0.9875052945933964
125,7.5,3.0,frozen,radial_hann_m0p1_clip0p5,6,2.22940993309021,6,3.9310768047968545,3.900206208229065,3.75480588277181,0.5,0.10420196172670222,0.26047645706761174,0.9872672219103532
125,7.5,3.0,frozen,radial_hann_m0p1_clip0p75,6,2.157985210418701,6,3.9769287109375,4.002283215522766,3.785553296407064,0.5,0.0960192083089122,0.26453873521038435,0.9875761439145886
125,7.5,3.0,frozen,radial_hann_m0p1_clip1p0,6,2.1664199829101562,6,4.027930895487468,4.095013737678528,3.8207172950108848,0.5,0.0812872713359568,0.26632694547323127,0.9878575457600264
125,7.5,3.0,frozen,radial_hann_m0p1_trunc0p5,6,2.0346367359161377,6,3.900349775950114,3.9656190872192383,3.7223534186681113,0.3333333333333333,0.08649976394785687,0.28189549247065276,0.9873164318728317
125,7.5,3.0,frozen,radial_hann_m0p1_trunc0p75,6,2.1617302894592285,6,4.146514733632405,4.302020311355591,3.9038036266962686,0.5,0.04739153932872614,0.2611450755438877,0.9885935759169312
125,7.5,3.0,frozen,radial_hann_m0p1_trunc1p0,6,2.228389024734497,6,4.144636631011963,4.141209244728088,3.8703216711680093,0.6666666666666666,0.022361109240445612,0.27983539253518996,0.9887108282840931
125,7.5,3.0,refit,raw_rectangular_m0p3,6,2.2392499446868896,6,3.973084886868795,3.954543113708496,3.847253680229187,0.5,0.07760294233298354,0.26503906357182994,0.9874306236268332
125,7.5,3.0,refit,radial_hann_m0p1_full,6,2.3741681575775146,6,3.9165433645248413,3.7588512897491455,3.74992307027181,0.3333333333333333,0.11153139974144877,0.2322837926352089,0.9831743747910195
125,7.5,3.0,refit,radial_hann_m0p1_clip0p5,6,2.22940993309021,6,3.915739814440409,3.868435263633728,3.7439860105514526,0.3333333333333333,0.10283531391727772,0.25437637373900013,0.9835724413592305
125,7.5,3.0,refit,radial_hann_m0p1_clip0p75,6,2.157985210418701,6,3.957930644353231,3.9594987630844116,3.775051474571228,0.5,0.09456459783023402,0.2590250881928744,0.9840545792133115
125,7.5,3.0,refit,radial_hann_m0p1_clip1p0,6,2.1664199829101562,6,4.009803255399068,4.054896116256714,3.8115562200546265,0.5,0.07984731252476196,0.2611388690098281,0.98476725581683
125,7.5,3.0,refit,radial_hann_m0p1_trunc0p5,6,2.0346367359161377,6,3.893031438191732,3.953716516494751,3.714039166768392,0.3333333333333333,0.0849763222913379,0.2771054470943467,0.9844796096296937
125,7.5,3.0,refit,radial_hann_m0p1_trunc0p75,6,2.1617302894592285,6,4.125493288040161,4.269615650177002,3.8934279680252075,0.5,0.046794058241554075,0.25730759547378523,0.985269371241268
125,7.5,3.0,refit,radial_hann_m0p1_trunc1p0,6,2.228389024734497,6,4.131391247113545,4.128424286842346,3.8662061293919883,0.6666666666666666,0.020087805244106374,0.2769972389494545,0.9873598208207647
125,7.5,5.0,frozen,native,6,3.525679111480713,5,3.887202560901642,4.024429082870483,2.7312667866547904,1.0,0.005879631088553525,0.29405853364651774,0.9737650344120642
125,7.5,5.0,frozen,gaussian_fwhm2p4,6,3.142791271209717,6,5.20098094145457,5.142696380615234,4.494073510169983,1.0,-0.10698780958448127,0.31532527046691594,0.9714287345773377
125,7.5,5.0,frozen,gaussian_fwhm3p0,6,2.886119842529297,6,5.104332645734151,4.887962341308594,4.727670629819234,0.8333333333333334,-0.09353995905564164,0.32241228649515274,0.9721364678777026
125,7.5,5.0,frozen,gaussian_fwhm3p6,6,2.5519919395446777,6,4.782009204228719,4.446898698806763,4.577581445376079,0.6666666666666666,-0.07344775410351052,0.3360264967776306,0.9738742250732356
125,7.5,5.0,frozen,gaussian_fwhm4p2,6,2.4404494762420654,6,4.253029108047485,3.822181820869446,4.111621538798015,0.6666666666666666,-0.05887720264322277,0.3608233457412049,0.9778151910255302
125,7.5,5.0,frozen,exact_identity,6,1.8215569257736206,6,5.902947346369426,5.628956079483032,5.763339281082153,0.5,0.007928602143798761,0.16701200621730516,0.969724925293764
125,7.5,5.0,frozen,sparse_identity,6,2.0639166831970215,6,5.658440351486206,5.481424808502197,5.606824239095052,0.16666666666666666,-0.03107543172973891,0.19574144348876343,0.9704562483393605
125,7.5,5.0,frozen,exact_identity_lpf1p8,6,1.9561721086502075,6,5.907606363296509,5.6344640254974365,5.789645671844482,0.16666666666666666,-0.002834754935032966,0.17239932092218196,0.9693106871643793
125,7.5,5.0,frozen,exact_identity_lpf2p7,6,2.249215841293335,6,5.890073378880818,5.775725603103638,5.780506531397502,0.16666666666666666,-0.0130190488793737,0.17313851873576072,0.9685910576282368
125,7.5,5.0,frozen,exact_isotropic_fitted_mean,6,1.790679931640625,6,6.007567326227824,5.803321599960327,5.84962010383606,0.5,0.015109946100387774,0.16526041820830367,0.9697249247439682
125,7.5,5.0,frozen,raw_rectangular_m0p3,6,2.2392499446868896,6,5.9096535841623945,5.557921886444092,5.794833103815715,0.3333333333333333,0.02858621817458064,0.1631050744038672,0.969080050520439
125,7.5,5.0,frozen,radial_hann_m0p1_full,6,2.3741681575775146,6,5.830784877141316,5.3840906620025635,5.709765354792277,0.5,0.04892580434275408,0.14847999597745684,0.9675829037046877
125,7.5,5.0,frozen,radial_hann_m0p1_clip0p5,6,2.22940993309021,6,5.805550177892049,5.477124929428101,5.69660480817159,0.3333333333333333,0.04446427324145215,0.16057150398078204,0.9683021860948421
